N,AVL Add,BST Add,AVL Add Rotations,AVL Add Height,BST Add Height,AVL Search,BST Search,AVL Save,BST Save,AVL Remove,BST Remove,AVL Remove Rotations
725000.000000,1.502862,1.889062,582238.000000,23.000000,178.000000,1.468432,1.801875,0.149760,0.185307,2.217621,2.223296,189334.000000
730000.000000,1.392700,1.764706,586407.000000,23.000000,179.000000,1.326695,1.836609,0.170339,0.175209,2.066946,2.503560,190973.000000
735000.000000,1.779707,2.056498,590475.000000,23.000000,180.000000,1.522582,1.653513,0.158852,0.164976,2.097062,2.125414,191789.000000
740000.000000,1.546964,2.005189,594664.000000,23.000000,181.000000,1.586380,1.772115,0.151282,0.156692,1.952905,1.993467,193387.000000
745000.000000,1.394653,1.593045,598905.000000,23.000000,181.000000,1.410643,1.695561,0.149788,0.202986,1.914980,1.915519,195613.000000
750000.000000,1.447588,1.679875,603056.000000,23.000000,181.000000,1.284688,1.618847,0.150013,0.165168,2.025165,2.050847,196963.000000
755000.000000,1.540444,1.734716,607188.000000,23.000000,182.000000,1.247330,1.826648,0.180904,0.193929,2.518212,2.146502,197808.000000
760000.000000,1.658157,1.787611,611364.000000,23.000000,184.000000,1.346854,1.928725,0.164050,0.211235,2.116777,2.232372,200199.000000
765000.000000,1.626512,1.919229,615587.000000,23.000000,186.000000,1.393955,1.738124,0.173073,0.171431,2.122859,2.092503,201291.000000
770000.000000,1.708343,1.724096,619709.000000,23.000000,186.000000,1.283836,1.722411,0.168028,0.187625,2.176870,2.163957,203012.000000
775000.000000,1.741136,1.803130,623864.000000,23.000000,188.000000,1.437219,1.734178,0.157074,0.187410,2.151716,2.350404,204206.000000
780000.000000,1.698785,2.114294,628133.000000,23.000000,189.000000,1.496739,1.753758,0.148664,0.184375,2.100853,2.121160,206159.000000
785000.000000,1.727423,1.947854,632206.000000,23.000000,189.000000,1.503172,1.936152,0.184921,0.201488,2.191132,2.179258,207654.000000
790000.000000,1.798732,2.077057,636246.000000,23.000000,191.000000,1.434763,1.823366,0.173022,0.179045,2.255897,2.403607,208737.000000
795000.000000,1.694559,2.232939,640383.000000,23.000000,192.000000,1.816604,2.278338,0.206998,0.230078,3.316739,3.541965,211708.000000
800000.000000,2.537634,2.275563,644616.000000,23.000000,192.000000,1.395030,1.649830,0.161228,0.190418,2.207671,2.302081,210885.000000
805000.000000,1.459028,1.892047,648896.000000,23.000000,192.000000,1.413238,2.024062,0.168575,0.190988,2.486827,2.366206,213448.000000
810000.000000,1.722013,2.180033,652957.000000,23.000000,193.000000,1.554536,2.052077,0.173273,0.201798,2.310821,2.393954,214598.000000
815000.000000,1.743363,2.239750,657041.000000,23.000000,193.000000,1.886541,2.171656,0.159511,0.174671,2.555895,2.404718,216619.000000
820000.000000,1.976470,2.316348,661151.000000,24.000000,193.000000,1.679830,2.099013,0.202660,0.222762,2.562542,2.716924,216969.000000
825000.000000,1.799558,2.380666,665254.000000,24.000000,195.000000,1.687072,2.057849,0.192927,0.218092,2.564181,2.577843,219752.000000
830000.000000,1.911945,2.234335,669413.000000,24.000000,197.000000,1.680257,2.226291,0.205647,0.213395,2.637929,2.622878,220846.000000
835000.000000,1.855213,2.239124,673667.000000,24.000000,199.000000,1.695251,2.180121,0.189662,0.211685,2.534338,2.426101,223540.000000
840000.000000,1.786350,2.016612,677879.000000,24.000000,200.000000,1.505653,1.875488,0.166593,0.194685,2.342051,2.595814,223555.000000
845000.000000,2.071122,2.532703,682022.000000,24.000000,200.000000,1.560329,1.983787,0.178480,0.206113,2.517667,2.547912,226598.000000
850000.000000,1.847455,2.252462,686229.000000,24.000000,201.000000,1.481580,2.217946,0.193359,0.203313,2.339005,2.500481,227486.000000
855000.000000,1.785579,2.148665,690413.000000,24.000000,204.000000,1.654184,1.987147,0.185039,0.210156,2.570112,2.626631,228581.000000
860000.000000,2.003422,2.244586,694507.000000,24.000000,206.000000,1.511581,1.942083,0.174891,0.217655,2.569915,2.677129,230538.000000
865000.000000,1.875585,2.151845,698655.000000,24.000000,207.000000,1.622072,2.190400,0.192427,0.244300,2.471104,2.752649,230785.000000
870000.000000,2.061465,2.448010,702831.000000,24.000000,210.000000,1.668320,2.065613,0.217512,0.228320,2.562969,2.762938,232840.000000
875000.000000,2.075211,2.371667,706905.000000,24.000000,213.000000,1.630627,2.179894,0.190286,0.212956,2.610495,2.755190,235406.000000
880000.000000,2.139075,2.096701,711056.000000,24.000000,213.000000,1.794143,2.092179,0.177602,0.216942,2.812357,2.881930,237271.000000
885000.000000,2.084983,2.420288,715157.000000,24.000000,214.000000,1.755544,2.213549,0.198782,0.222918,2.782487,2.876351,237858.000000
890000.000000,2.121687,2.399589,719356.000000,24.000000,218.000000,1.676127,2.334716,0.194189,0.223123,2.815662,2.823127,240685.000000
895000.000000,2.231518,2.689850,723465.000000,24.000000,220.000000,1.807036,2.347675,0.198483,0.257432,2.949965,3.033299,241836.000000
900000.000000,2.174185,2.537323,727595.000000,24.000000,222.000000,1.796131,2.346990,0.217739,0.225935,2.895821,2.967721,242110.000000
905000.000000,2.189007,2.554433,731678.000000,24.000000,222.000000,1.783608,2.336252,0.219759,0.244901,2.995602,3.074029,244725.000000
910000.000000,2.087791,2.529351,735828.000000,24.000000,222.000000,1.796012,2.333224,0.191299,0.228728,2.895747,2.789188,246673.000000
915000.000000,2.123657,2.680417,739871.000000,24.000000,222.000000,1.943135,2.363674,0.227782,0.235926,3.074392,2.774837,248225.000000
920000.000000,2.188377,2.373152,744070.000000,24.000000,223.000000,1.823706,2.236408,0.197923,0.233865,2.439487,2.778142,249431.000000
925000.000000,2.025506,2.457079,748194.000000,24.000000,229.000000,1.828210,2.216585,0.229529,0.245577,2.809235,2.824017,250870.000000
925174.000000,1.922588,2.530133,748339.000000,24.000000,229.000000,1.822546,2.490948,0.214757,0.225747,2.780442,3.189328,252082.000000
